date,rv_cc_7d,rv_cc_14d,rv_cc_21d,rv_cc_30d,rv_cc_60d,rv_cc_90d,rv_park_7d,rv_park_14d,rv_park_21d,rv_park_30d,rv_park_60d,rv_park_90d,rv_gk_7d,rv_gk_14d,rv_gk_21d,rv_gk_30d,rv_gk_60d,rv_gk_90d,rv_yz_7d,rv_yz_14d,rv_yz_21d,rv_yz_30d,rv_yz_60d,rv_yz_90d
2019-11-18,0.30026142873246725,0.38943406362945254,0.3676909096762041,0.7241805297993832,0.6406254305441927,0.576356722403975,0.287403895548338,0.3278280449032554,0.330358641561171,0.5857794923784502,0.5455173555797065,0.5039694304665727,0.2782095177022948,0.2898149073191888,0.31325611622100313,0.528932283955909,0.5052048499431342,0.4731473151831653,0.27163528768327044,0.2837067083286692,0.30783369471898464,0.5527878474575721,0.5181359789689007,0.48375521264352517
2019-11-19,0.2764324006213957,0.3897585012152437,0.35394315278937777,0.7187496015111524,0.6409023430258747,0.5649387701191018,0.319305747115734,0.34102328384350805,0.334907713073955,0.5847292698983342,0.547867305723384,0.49652021167700894,0.31961201916485765,0.3087854829768385,0.32223208869443803,0.5300793420908092,0.5085442101106602,0.4679151019871884,0.3046052255937937,0.29980169245987826,0.31327301697363347,0.5534713608260245,0.52090666039013,0.4784589846258856
2019-11-20,0.2749819791488522,0.38961544657218566,0.3524327122334082,0.7227253651247642,0.6417941970941711,0.5663159507336528,0.3394604246599165,0.3494939237654749,0.32941060126926686,0.5870927348315106,0.5487364125882238,0.4953059220369922,0.33324185521826977,0.3142410825949771,0.315018102541268,0.5316278501985311,0.509360049331123,0.4653355325421564,0.3128933636949702,0.30255386302756837,0.30495554095371114,0.554943043393621,0.5216191831177557,0.4755268738728786
2019-11-21,0.3757131604970513,0.4353026924426858,0.39320326800471594,0.7392494571182959,0.6510542320349849,0.5707332419737806,0.4370525008541726,0.39904910973303354,0.3548976810656004,0.600132941321748,0.5567430099102875,0.4997224074055278,0.4138734760580957,0.3566296596384464,0.3279235259751084,0.543046273038068,0.5159546696023356,0.4690622193284863,0.38437027469820495,0.3394262342531478,0.31694058122751756,0.5652090797621462,0.5272530753887172,0.4787468318909629
2019-11-22,0.4259061996943862,0.42412425464931286,0.416510911075262,0.7131913454642789,0.6550783381665969,0.5757726497659269,0.6158485346689406,0.4821700500487353,0.43851966490986366,0.6159945779463166,0.5753444962244223,0.5127276551666021,0.6334306181568132,0.4828678381474734,0.4305500922682355,0.5795740849329276,0.5413696202781395,0.48559269073724415,0.6235733640031623,0.4774309060244936,0.42484107091231654,0.6023646219032264,0.5533125617987134,0.4957194427007183
2019-11-23,0.4558295304830798,0.4410144105860644,0.4229900744762846,0.7150000605631824,0.5880983284097708,0.5768380414107774,0.6368338078503825,0.4962462705844986,0.4484185709948609,0.6211648482277916,0.5288513495686478,0.5137830119621482,0.6593995869569689,0.5003287697243486,0.44338209371031995,0.5864265614444338,0.5058303774980193,0.48683651573974285,0.651951004060398,0.4959684706015899,0.43814166269546734,0.6089526792896716,0.5197718480781979,0.49720876821747073
2019-11-24,0.44366029437317345,0.41870991794430773,0.45071019103522836,0.5091867449705219,0.5981022248017154,0.5813705480192456,0.6666762391857042,0.5117018290278325,0.46285211848987223,0.5468759915547531,0.529568401132879,0.5157182924437413,0.6644199512145778,0.5055958943276788,0.4467777875891467,0.5581368164604059,0.5018074203208246,0.48679458108107077,0.6437736325532387,0.4936087318331995,0.44046339363048886,0.5740766901938709,0.5168356305038704,0.4968710817600082
2019-11-25,0.5335580314253514,0.4385839382278588,0.4445060117612656,0.4450094429475977,0.5904513943889672,0.581824275072465,0.7733985559745239,0.5834150861778593,0.5206047062258977,0.5005636417431665,0.5387490724642798,0.5288256749285508,0.8184167957546413,0.6112309658850064,0.5284541647049922,0.5126039061637984,0.5191492149988667,0.5060814651543576,0.8133940482111562,0.6053120278408903,0.5222737923089347,0.5079649676581489,0.5331199843529989,0.5155352580333309
2019-11-26,0.5796808395625365,0.4436051381983539,0.4544662148990365,0.4252099967226128,0.5894589220407167,0.5769376492359412,0.7678804815787018,0.5880461691613489,0.5235246553367402,0.48443694930293874,0.5377876161490591,0.5257410091811654,0.8116763588026499,0.6168348053708396,0.5321389105717934,0.49534806172804247,0.5181819224336031,0.5045977447496173,0.8123542119412869,0.6109551725772814,0.5268456642627931,0.4918072096210769,0.5317523102206102,0.5142100198473089
2019-11-27,0.723843046621437,0.5276571890710048,0.5061164927391013,0.454057040602434,0.5996878795788879,0.5824733762969433,0.8499185280172563,0.647145611194772,0.567642349185058,0.5044784730078502,0.5527862621115869,0.5348631609731458,0.9036335513818787,0.6810300027356866,0.5813915809400614,0.5191976181268387,0.5357391979087216,0.5160193422385453,0.9090571386267037,0.6764036822469451,0.5766071069174492,0.5145268324410429,0.5480657911992104,0.5249950656523305
