date,close,rv_cc_30d,iv_synthetic_30d,iv_premium_factor,vrp_30d,vrp_60d,vrp_90d,vrp_forward,forward_rv_30d,vrp_30d_roll_mean,vrp_30d_roll_std,vrp_zscore,vrp_percentile,regime_threshold,regime_change,days_since_regime_change
2020-05-29,9439.1240234375,0.6440619291526326,0.6541359030668037,0.01564131251698897,0.010073973914171086,0.010703774682193745,0.021492636475433757,0.17254087805288282,0.4815950250139209,-0.027808127255800317,0.026036979357724848,0.9861143770581079,0.9642857142857142,HIGH,0,30
2020-05-30,9700.4140625,0.6461315808321677,0.6572769680587351,0.01724940794909458,0.011145387226567438,0.011838621915767678,0.02372255911001453,0.18601549864337213,0.471261469415363,-0.024872619851129187,0.025261873192034774,0.993671430237938,0.9642857142857142,HIGH,0,31
2020-05-31,9461.05859375,0.6496214858573421,0.6606199565635459,0.01693058334067943,0.010998470706203745,0.01167103311894091,0.023269066321860876,0.19654587410430957,0.4640740824592363,-0.02211789370508314,0.024479609199847954,0.9920896312005463,0.9603174603174602,HIGH,0,32
2020-06-01,10167.2685546875,0.6929804788583173,0.48508633520082206,-0.3,-0.2078941436574952,-0.21243285363565512,-0.4149630131641616,0.10047935950590114,0.3846069756949209,-0.02701342946575968,0.041380535063101104,-0.6499542853493014,0.15079365079365079,HIGH,0,33
2020-06-02,9529.8037109375,0.7321711911540097,0.5125198338078067,-0.3,-0.219651357346203,-0.21927467612516388,-0.41728937114212084,0.19638290713344286,0.3161369266743639,-0.03284253105015352,0.05427660298208832,-0.7378993623252212,0.14285714285714285,HIGH,0,34
2020-06-03,9656.7177734375,0.7331584557557476,0.5257751356299634,-0.2828628906857675,-0.2073833201257842,-0.20656460993184333,-0.3928948032790248,0.21403046307786738,0.311744672552096,-0.038419318269554914,0.06294815409681903,-0.6456113409155457,0.15873015873015872,HIGH,0,35
2020-06-04,9800.63671875,0.7339400773240085,0.535594607074484,-0.27024749891395006,-0.19834547024952442,-0.19708339061084013,-0.375459423491898,0.22867790713356312,0.3069166999409209,-0.043897037775016745,0.06937366014558939,-0.5775898964979879,0.16269841269841268,HIGH,0,36
2020-06-05,9665.533203125,0.729885139476532,0.5391514715729638,-0.261320114066661,-0.19073366790356816,-0.18613350249901023,-0.3628791535551368,0.2346660354774031,0.3044854360955607,-0.0494020959280651,0.07425139485733653,-0.5202891144608615,0.16666666666666663,HIGH,0,37
2020-06-06,9653.6796875,0.6852147063687551,0.5137573739386759,-0.25022424480452954,-0.1714573324300792,-0.17788386147472007,-0.343352891682113,0.1859500346217962,0.3278073393168797,-0.05451688107901471,0.07723949386081315,-0.3754560754049679,0.18650793650793648,HIGH,0,38
2020-06-07,9758.8525390625,0.6854422777609107,0.5157314687479004,-0.2475931446297614,-0.16971080901301028,-0.17571714901861002,-0.3394934365119603,0.18809036511722632,0.3276411036306741,-0.059831899836742065,0.07954087032761248,-0.3622408149667428,0.19444444444444442,HIGH,0,39
2020-06-08,9771.4892578125,0.6793331733546709,0.5256936927166705,-0.2261621935512152,-0.15363948063800037,-0.16042935493845878,-0.31010145706815706,0.19034985192219156,0.335343840794479,-0.06458691174370056,0.08077463172591959,-0.24146274019985312,0.21825396825396823,HIGH,0,40
2020-06-09,9795.7001953125,0.5928158897186718,0.4688931840774448,-0.20904079629180672,-0.12392270564122704,-0.1437050044902558,-0.2866237789070475,0.1298790111839639,0.3390141728934809,-0.0662811639645538,0.08148914134808204,-0.018196548054536143,0.29365079365079366,MEDIUM,1,0
