date,rv_cc_30d,vov_30d,vov_60d,vov_90d,vov_ratio_30d,garch_vol_daily,garch_vol_annual,var_95pct,var_99pct,cvar_95pct,cvar_99pct
2025-07-22,0.2858308302948519,0.016482245715247,0.022814139691096826,0.08044960637852965,0.057664338371912365,0.018260640128167863,0.28987867535987283,-0.036390790238762065,-0.06225148923371929,-0.052169652508798445,-0.07430122442536104
2025-07-23,0.2546759942936159,0.019043384658176284,0.02439155462925448,0.07841727262361255,0.07477494968065647,0.019158157738356357,0.3041263257230314,-0.036390790238762065,-0.06225148923371929,-0.052169652508798445,-0.07430122442536104
2025-07-24,0.2558936178244168,0.020985181897142935,0.02571545342640887,0.0761699076659873,0.08200744542031552,0.018928707960629305,0.30048392342156244,-0.03611521087307406,-0.06225148923371929,-0.052169652508798445,-0.07430122442536104
2025-07-25,0.2561602157924398,0.022383886333328162,0.02688397109211533,0.07368207488106462,0.08738236835131831,0.018436977098682226,0.292677937985438,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-07-26,0.2549951555017752,0.02352045924443638,0.028002182680039348,0.07137537763528254,0.09223884743281971,0.018071375106376287,0.2868741862826104,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-07-27,0.2569499820666567,0.02431637457432317,0.028874600241207755,0.06900648028137159,0.09463466149616284,0.01764235620019417,0.28006372228159343,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-07-28,0.2632908198800126,0.02483435853694955,0.029267494637931653,0.06626958714440809,0.09432291846813007,0.017726588623811552,0.28140087055291246,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-07-29,0.2623875103750551,0.025358395418524627,0.029441832562514602,0.06325685170622566,0.09664482650975838,0.017816429837345903,0.28282705560388927,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-07-30,0.2575750715139656,0.025878831782057122,0.029861887943738973,0.06014596039637967,0.10047102629127674,0.017387866916698476,0.2760238301488297,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-07-31,0.2614311311515683,0.025992683288775804,0.03005539066810449,0.05724921668231875,0.09942459099756634,0.01699871389225904,0.26984621740113734,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-08-01,0.2567321846135911,0.0252989933218972,0.03037973746577754,0.05399032657310485,0.09854235206222718,0.017641692861200608,0.280053192101522,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-08-02,0.257432253157325,0.024251215788614878,0.030736596321664724,0.0500990524576667,0.09420426341758426,0.018603755266501407,0.2953254593224253,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-08-03,0.2555120116580135,0.02262434349149576,0.031029345397825897,0.045739081218049905,0.08854512687950261,0.018255399930979868,0.28979548980839054,-0.03611521087307406,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-08-04,0.2562560732941958,0.022024516370997657,0.030870540327725706,0.04354852051383256,0.08594729517185852,0.018456438934999073,0.29298688505914416,-0.03567205832090233,-0.06225148923371929,-0.05208157037484407,-0.07430122442536104
2025-08-05,0.2572843021243642,0.02182195602251466,0.030194340398241506,0.04108476827362535,0.08481650781774677,0.018140176785361915,0.28796637907688843,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-06,0.2555599866147367,0.021553920146769632,0.03080877680429416,0.037903039240928346,0.08433996429676889,0.017885222327358223,0.2839191025277383,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-07,0.2639452513758982,0.020886329534217363,0.031198940994763814,0.03693025524647664,0.07913129493840391,0.01763625616509423,0.27996688722641416,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-08,0.2566548459101369,0.021151431364989648,0.031444216262281714,0.03676969445937648,0.08241196962396512,0.018592847712022752,0.29515230726305086,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-09,0.2136702092819178,0.022593572144186804,0.03308256481575106,0.03798404074634611,0.10574039413410555,0.018240428958082398,0.2895578329813622,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-10,0.2248062495014835,0.02283291328968569,0.0340841792115984,0.03874588146354742,0.10156707538299559,0.01778333736675974,0.28230172891925104,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-11,0.2255462954443838,0.023581777534298864,0.03470365509986964,0.03956497291314123,0.10455404504798778,0.019050270432517516,0.3024136678378094,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-12,0.2240081674203651,0.02405631598573919,0.03526962570387839,0.04031182323492064,0.1073903521588837,0.018585464782184213,0.295035106885252,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-13,0.2406863344615775,0.023654520856538103,0.03522982911676685,0.04069802545642666,0.09827945117637846,0.018523646044135273,0.2940537648418039,-0.03567205832090233,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-14,0.275414327223263,0.02238473898745059,0.03457888524096146,0.04053546026911812,0.08127659593142567,0.01997563452644506,0.31710336742613476,-0.03611521087307406,-0.06225148923371929,-0.05089018237511433,-0.07430122442536104
2025-08-15,0.2753441441240141,0.02105683400711962,0.03382351572043703,0.04033219535201273,0.07647460262541735,0.0236670683937603,0.37570306339107995,-0.03611521087307406,-0.06225148923371929,-0.05130009390933468,-0.07430122442536104
2025-08-16,0.2747897695622242,0.020425902206216973,0.033267974794554296,0.0399970896604469,0.07433283356493982,0.022932032127288435,0.36403472439689216,-0.03611521087307406,-0.06225148923371929,-0.05130009390933468,-0.07430122442536104
2025-08-17,0.2722467834732165,0.019403564164210668,0.032709552759393294,0.03958451644467023,0.07127196845695545,0.022094967745766515,0.3507467392877496,-0.03611521087307406,-0.06225148923371929,-0.05130009390933468,-0.07430122442536104
2025-08-18,0.2745281770339901,0.018375037755037963,0.032156126796322945,0.03912347692895701,0.06693315765821335,0.021319936388884804,0.33844349791623385,-0.03567205832090233,-0.06225148923371929,-0.05130009390933468,-0.07430122442536104
2025-08-19,0.2927076800830317,0.018465209755082097,0.03183217212128314,0.03852626314763183,0.06308413141002693,0.02088119029701676,0.3314786196295278,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-20,0.2966722514065606,0.01906722815501719,0.03164485055175582,0.038531531557330266,0.06427034569164138,0.022473921324846508,0.35676244085985065,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-21,0.2899698913862445,0.0192845524019945,0.03165158169963451,0.038278908508063744,0.0665053613318328,0.022071661174871186,0.3503767589447332,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-22,0.321576451417698,0.022409593288948013,0.03150094353049863,0.03804284764524294,0.06968667385361509,0.021971896714139936,0.34879304722806903,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-23,0.3243584590171078,0.025185760719082247,0.03146170789910026,0.03781176603446685,0.07764792321249085,0.024778350570872146,0.39334412105341815,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-24,0.3286030971824191,0.02781490101045653,0.03145065082669355,0.03761515467228983,0.08464588815185606,0.024182001008736746,0.383877365238183,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-25,0.3430179518789399,0.031096058036639784,0.03183534437344827,0.03759090778560247,0.0906543166802372,0.02389775325163685,0.3793650719820977,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-26,0.3444818505546995,0.033938752943970855,0.0323060746785293,0.037542939842758694,0.0985211641464455,0.025003587971792408,0.39691965394613155,-0.03567205832090233,-0.06225148923371929,-0.05111771620399549,-0.07430122442536104
2025-08-27,0.3425389252401445,0.036277311362655655,0.03286442153819238,0.03734773684614848,0.10590712088333507,0.024525531503465675,0.3893307427791014,-0.03407181302845965,-0.05850050467943107,-0.05111771620399549,-0.07430122442536104
2025-08-28,0.3458536699278168,0.0384748953860884,0.03356811055443696,0.03708666480873275,0.11124616776256416,0.023631894810104668,0.37514470006064954,-0.03407181302845965,-0.05850050467943107,-0.04929377302606082,-0.07430122442536104
2025-08-29,0.3677436388795825,0.04168335777754634,0.03496205303683039,0.03731558428101744,0.11334895663877284,0.023073044587241277,0.3662732278016722,-0.03567205832090233,-0.05850050467943107,-0.04929377302606082,-0.07430122442536104
2025-08-30,0.3643391265568174,0.044205611258106355,0.03612702301151262,0.037465026058061034,0.1213309470104706,0.02542087223980849,0.4035438363412726,-0.03567205832090233,-0.05850050467943107,-0.04944419351637186,-0.07430122442536104
2025-08-31,0.3579291340824271,0.045876590051613333,0.036733562467120146,0.03755202326508826,0.12817227122128724,0.024430072440222814,0.3878153771287346,-0.03567205832090233,-0.05850050467943107,-0.04944419351637186,-0.07430122442536104
2025-09-01,0.359310265630505,0.047325796607200286,0.0373672003849941,0.037748154511044116,0.1317128986675475,0.023545019062520597,0.3737655903222279,-0.03567205832090233,-0.05850050467943107,-0.04944419351637186,-0.07430122442536104
2025-09-02,0.3609839701389096,0.04851320695538273,0.037960163534634495,0.037946632792415114,0.1343915823650409,0.022868434365327647,0.36302514122436097,-0.03567205832090233,-0.05850050467943107,-0.04944419351637186,-0.07430122442536104
2025-09-03,0.3603083993890421,0.04940633873837894,0.03887042670483274,0.037932444489997,0.137122361904843,0.022793940574544324,0.3618425889565741,-0.03567205832090233,-0.05850050467943107,-0.04944419351637186,-0.07430122442536104
2025-09-04,0.360537607582003,0.050076375769332715,0.03987617795953951,0.03771296644774004,0.1388936263963615,0.022020056612843147,0.3495575619188776,-0.03407181302845965,-0.05850050467943107,-0.04944419351637186,-0.07430122442536104
2025-09-05,0.3591596726727523,0.050386601016872534,0.04080088444001888,0.03818126655185845,0.14029025208178703,0.021456185599647005,0.34060638708426755,-0.03407181302845965,-0.05850050467943107,-0.0494092935197423,-0.07430122442536104
