date,log_return,rsi_14,bb_middle,bb_upper,bb_lower,bb_pct_b,sma_50,sma_200,sma_cross_signal,macd_line,macd_signal,macd_histogram,atr_14,vol_sma_20,vol_ratio,rolling_drawdown_90d,sharpe_90d
2025-04-06,-0.06544922522509501,36.161840370855,84243.6796875,88851.71667124079,79635.64270375921,-0.15420431018389036,86773.7903125,86733.041015625,1.0,-1354.1450860738842,-1116.5162314758759,-237.62885459800827,3474.5970794027726,27431621598.85,1.323102741309379,-0.26314426688056175,-2.0278046953632205
2025-04-07,0.012967507560798076,38.90757798802386,84069.521484375,89158.46172047671,78980.58124827329,0.025030230009329295,86434.99640625,86814.51541015625,-1.0,-1557.7385106645816,-1204.7606873136172,-352.9778233509644,3703.7246317668605,30789954118.5,2.9640325099466582,-0.25352686247646783,-1.5591823691236908
2025-04-08,-0.038117076261749684,34.29616443858035,83540.4078125,89530.93542028235,77549.88020471764,-0.10666231452280397,86044.9678125,86879.91029296875,-1.0,-1935.8922328007175,-1350.9869964110374,-584.9052363896801,3769.5919571763707,31459085643.1,1.5357913226444,-0.28144478116207866,-1.6902791098948422
2025-04-09,0.07938900944238109,48.323324832110934,83460.745703125,89458.54794802744,77462.94345822255,0.4260735397804518,85785.6559375,86975.805859375,-1.0,-1707.3814198555192,-1422.2658810999337,-285.1155387555855,4139.715969163773,34218317546.95,2.4610686052127733,-0.22207387477273768,-0.8348998842127386
2025-04-10,-0.0363518545774045,43.63107532481379,83239.890625,89468.24861665054,77011.53263334946,0.20989544878084782,85445.4665625,87055.6930078125,-1.0,-1744.044527435719,-1486.6216103670909,-257.42291706862807,4147.221748152075,35502694963.65,1.2595663703497786,-0.24984510612640784,-1.2723188565985957
2025-04-11,0.04636385379527456,50.29393105412867,83218.508203125,89441.23397221262,76995.78243403739,0.5149715527639517,85146.88453125,87156.06818359374,-1.0,-1451.4596491588163,-1479.589218125436,28.129568966619672,4230.359926855498,37092373198.05,1.1230550969758375,-0.21424615886009885,-0.90769554976707
2025-04-12,0.022317029488567466,53.25777647633001,83180.144921875,89338.38350255472,77021.9063411953,0.6710687581782874,84930.11578125,87260.99388671874,-1.0,-1055.5327649058745,-1394.7779274815236,339.24516257564915,4148.677967794391,37675545376.4,0.6438674971164524,-0.1965133311773068,-0.7377689460962326
2025-04-13,-0.018963852136872177,50.49771748269728,82989.448046875,88811.6255850996,77167.2705086504,0.5597309607151808,84672.26015625,87363.703046875,-1.0,-861.110242173163,-1288.0443904198517,426.93414824668866,4065.7852334876493,37386264370.6,0.7702557423641802,-0.21160696450549293,-0.8747070689229072
2025-04-14,0.010193602875445013,51.93339067856847,82842.982421875,88328.01075439938,77357.95408935062,0.654913347762315,84437.62953125,87460.50990234375,-1.0,-630.5739787253406,-1156.5503080809494,525.9763293556089,3925.3736766313887,37590510857.0,0.9068982836303144,-0.20352929867851863,-0.9555356666374343
2025-04-15,-0.010384627625774925,50.33205806587892,82681.387890625,87844.00199371786,77518.77378753215,0.5956496338050268,84282.6459375,87549.90154296876,-1.0,-512.4411806824501,-1027.7284826012497,515.2873019187996,3847.1706461577182,37657324699.35,0.7446180287333052,-0.21175755270476573,-1.3354313037989296
